Month,Cash,No charge,Credit card,Dispute,Unknown,Voided trip
3,0.06763424075004455,0.024318994188470177,0.00039568778099252264,0.00046431905471070947,0.00017315034402755786,3.546224959603178e-7
1,0.06485104519424932,0.02526292834821735,0.0003389245401391411,0.0003922243012819769,0.00013197867224656496,0
5,0.06449899962175965,0.02427329516949076,0.0003873659730873205,0.00048142367976586217,0.00017939169995645946,0
4,0.06328847209029936,0.023965506484496933,0.0005018617562830418,0.0004525574085946923,0.0001630436028926888,0
10,0.06165804788212235,0.02238365373751661,0.0005523008959584644,0.00047037127864176556,0.00021181601683709786,0
2,0.061288838580828196,0.021127119847580415,0.0003506389032556969,0.00041137391606383403,0.00014859864655723852,0
6,0.05890646101146705,0.022497759435966772,0.0003634525961097298,0.0004532548328367476,0.00018547938613711157,0
11,0.05883877539773809,0.021250753070422047,0.0005613792318550485,0.0004341052180548904,0.00021585871329104546,1.1820749865343928e-8
12,0.057637148890926415,0.022601309204787187,0.0006030710166301165,0.0004384670747552023,0.00023804626078829602,1.1820749865343928e-8
9,0.05586969855031033,0.0207262782196466,0.0004029575421597092,0.00044396372344258727,0.00019138976106978354,0
7,0.052297160601506895,0.021296960381645677,0.00040142084467721445,0.0004194593089717293,0.00017837511546803987,0
8,0.04984002860999731,0.020941073065449765,0.00039387920626312504,0.0004250623444079023,0.00018841093210371688,1.1820749865343928e-8
