hour2,percent
18,0.06559272632380046
19,0.06194715978232893
17,0.05953391823506937
20,0.0565396040866791
15,0.05610040412543225
21,0.05595320032735912
14,0.05579754469313227
13,0.05300947898839252
16,0.05280122101726489
12,0.05244387974883554
22,0.05202282463863199
11,0.049355531535266464
10,0.04700425435880104
9,0.046481268922508624
8,0.045555266840307175
23,0.04115093818572909
7,0.036452249218004204
0,0.029530526389103008
6,0.020979431398762807
1,0.020532796185850653
2,0.01424010274028387
3,0.009946700002442167
5,0.00925167537260954
4,0.0077772968834049225
